key,word,lang,group,leakage
come_en,come,en,HHP,0.0033396323413642515
ride_en,ride,en,HHP,0.006526274181715586
hot_en,hot,en,HHP,0.018979289505090313
wet_en,wet,en,HHP,0.0021727207491683
blow_en,blow,en,HHP,0.00398862593534699
eat_en,eat,en,HHP,0.006499522349895037
mount_en,mount,en,HHP,-0.002235089779123345
lay_en,lay,en,HHP,0.00860881983442574
master_en,master,en,HHP,0.0009875976582806034
69_en,69,en,HHP,0.06426063264160409
doggy_en,doggy,en,HHP,0.0037796186221744077
collar_en,collar,en,HHP,-0.0051871040548010505
leash_en,leash,en,HHP,-0.001682097043769426
dominate_en,dominate,en,HHP,0.01843603623926937
submit_en,submit,en,HHP,-0.006948079218362713
nuts_en,nuts,en,HHP,-0.0006471121661596468
screw_en,screw,en,HHP,0.007574186898152702
swallow_en,swallow,en,HHP,0.002645611184207697
iku_ja,イク,ja,HHP,0.013851197881491362
taberu_ja,食べる,ja,HHP,-0.018757014929536298
noru_ja,乗る,ja,HHP,0.005464681572506791
kubiwa_ja,首輪,ja,HHP,-0.005882012578435014
nureru_ja,濡れる,ja,HHP,-0.00042559424134147594
semeru_ja,攻める,ja,HHP,0.0012294412424729284
shibaru_ja,縛る,ja,HHP,0.00670100720325606
neru_ja,寝る,ja,HHP,0.0060778081996718525
venir_fr,venir,fr,HHP,0.0044950592554627855
mourir_fr,mourir,fr,HHP,-0.006328959385342947
monter_fr,monter,fr,HHP,-0.00013741658927335365
kommen_de,kommen,de,HHP,-0.001647926633682184
reiten_de,reiten,de,HHP,0.0009301862537431926
blasen_de,blasen,de,HHP,0.0032449654005715645
correrse_es,correrse,es,HHP,-0.012257330334112915
montar_es,montar,es,HHP,-0.03382634521874606
gada_ko,가다,ko,HHP,0.009759984220402695
lai_zh,来,zh,HHP,0.003269912613803383
lick_en,lick,en,HHP,-0.003777783746411467
tie_en,tie,en,HHP,0.002024022200804665
obey_en,obey,en,HHP,0.013184091689564803
nameru_ja,舐める,ja,HHP,0.01305130614465011
shitagau_ja,従う,ja,HHP,0.00843752601595893
chaud_fr,chaud,fr,HHP,0.005291646385225834
mouiller_fr,mouiller,fr,HHP,0.005563801533137125
heiss_de,heiß,de,HHP,0.009456547323991371
feucht_de,feucht,de,HHP,0.0030476646836121724
caliente_es,caliente,es,HHP,0.016265973084646057
mojarse_es,mojarse,es,HHP,-0.003692124476922798
walk_en,walk,en,Control,0.01152896775027179
sit_en,sit,en,Control,0.004490027165908295
cold_en,cold,en,Control,0.011982009297388851
dry_en,dry,en,Control,0.0006033886408656208
cup_en,cup,en,Control,-0.003690775544626268
desk_en,desk,en,Control,0.018038016770567933
pencil_en,pencil,en,Control,-0.0014834429764536416
68_en,68,en,Control,-0.000670678096398869
70_en,70,en,Control,-0.0018320262563796819
breathe_en,breathe,en,Control,-0.009420420400459872
carry_en,carry,en,Control,0.0178874382053279
table_en,table,en,Control,-0.043799106316751324
aruku_ja,歩く,ja,Control,0.007960870709726509
suwaru_ja,座る,ja,Control,0.004183325204172972
koppu_ja,コップ,ja,Control,0.027371373900323404
tsukue_ja,机,ja,Control,0.012344596348621006
enpitsu_ja,鉛筆,ja,Control,0.003655679619032459
marcher_fr,marcher,fr,Control,-0.0033191647971327898
asseoir_fr,s'asseoir,fr,Control,-0.00455678325822606
gehen_de,gehen,de,Control,0.027091150886061066
sitzen_de,sitzen,de,Control,0.0069180411664010455
geotda_ko,걷다,ko,Control,0.003457318632699713
zou_zh,走,zh,Control,0.0012869040530516518
chew_en,chew,en,Control,0.00352281819260003
fasten_en,fasten,en,Control,0.004061340042469497
manage_en,manage,en,Control,-0.015857998590066313
warm_en,warm,en,Control,0.00025115820768384367
damp_en,damp,en,Control,-0.0017905149629863226
kamu_ja,噛む,ja,Control,0.006687057349457071
koteisuru_ja,固定する,ja,Control,0.003387213705412506
atarakai_ja,温かい,ja,Control,-0.006819255228164178
shimeru_ja,湿る,ja,Control,0.0069934975640914
tiede_fr,tiède,fr,Control,-0.019643737240350234
humide_fr,humide,fr,Control,-0.00191541293524633
kuhl_de,kühl,de,Control,-0.006445989567251176
trocken_de,trocken,de,Control,-0.013869499165248766
templado_es,templado,es,Control,-0.0119232602366241
seco_es,seco,es,Control,-0.031835910678837454
