key,word,lang,domain,group,sim_sexual,sim_neutral,hhp_index,sim_primary
come_en,come,en,movement,HHP,0.6812022330029432,0.7146970974073463,-0.03349486440440308,0.6984781359074619
ride_en,ride,en,movement,HHP,0.6642680259629841,0.6978725877010106,-0.033604561738026506,0.7420530387685895
hot_en,hot,en,temperature,HHP,0.7763507819887765,0.7506186415479423,0.02573214044083416,0.7302573561881796
wet_en,wet,en,moisture,HHP,0.7080287712587339,0.71476786234245,-0.0067390910837161755,0.7913452761552122
blow_en,blow,en,air,HHP,0.6439655343099862,0.6153135934268643,0.02865194088312184,0.7005100633299166
eat_en,eat,en,food,HHP,0.6987240032841194,0.7427778031403119,-0.04405379985619251,0.817024010282748
mount_en,mount,en,movement,HHP,0.5728485734403767,0.6206182657972188,-0.04776969235684214,0.5929036247608725
lay_en,lay,en,position,HHP,0.6307150189313884,0.6568670021036936,-0.02615198317230527,0.6447965605252522
master_en,master,en,authority,HHP,0.6216508407748984,0.695173336119079,-0.07352249534418065,0.7227017973101668
69_en,69,en,number,HHP,0.7192498632176361,0.7100971897861754,0.009152673431460645,0.699355004501379
doggy_en,doggy,en,animal,HHP,0.6953992425780183,0.6893184291615864,0.006080813416431963,0.764711028255275
nuts_en,nuts,en,food,HHP,0.6874799832190306,0.7242160745707509,-0.03673609135172029,0.7140986534641639
screw_en,screw,en,tool,HHP,0.6627264582847263,0.7246526686169367,-0.06192621033221035,0.7497335787176144
collar_en,collar,en,animal,HHP,0.6343636504397225,0.6616434913516562,-0.027279840911933695,0.663739420952145
leash_en,leash,en,animal,HHP,0.6926364043613411,0.6928804557449587,-0.00024405138361760503,0.7629258113822719
dominate_en,dominate,en,power,HHP,0.6410187850908051,0.6050253501385614,0.03599343495224372,0.675590421454277
submit_en,submit,en,power,HHP,0.6477190334562499,0.7197166365085671,-0.07199760305231717,0.6840172468608998
swallow_en,swallow,en,food,HHP,0.6697922346039691,0.6616908132913104,0.008101421312658674,0.6472576824476786
iku_ja,イク,ja,movement,HHP,0.8179470748851105,0.7014631610054878,0.11648391387962276,0.6993416100359636
taberu_ja,食べる,ja,food,HHP,0.7454374212853182,0.7870534563217836,-0.04161603503646538,0.8771979465351148
noru_ja,乗る,ja,movement,HHP,0.7145246329528507,0.7444063563484027,-0.02988172339555195,0.815416053482936
kubiwa_ja,首輪,ja,animal,HHP,0.7062516677363283,0.7302861496545716,-0.02403448191824331,0.7516585497649595
nureru_ja,濡れる,ja,moisture,HHP,0.7548417736694029,0.7114651020487249,0.04337667162067793,0.8235887045545186
semeru_ja,攻める,ja,power,HHP,0.7159251651464109,0.6292923859865218,0.0866327791598891,0.6638281496720368
shibaru_ja,縛る,ja,tool,HHP,0.7770304448636427,0.7105464338895306,0.06648401097411205,0.7097578345532911
neru_ja,寝る,ja,sleep,HHP,0.7568621572518504,0.7735032838018518,-0.016641126550001495,0.8751939528886099
venir_fr,venir,fr,movement,HHP,0.6452983675309558,0.7037365707444618,-0.05843820321350601,0.7699120110866745
mourir_fr,mourir,fr,state,HHP,0.6610609071299929,0.7124680829876514,-0.05140717585765853,0.8100897235927309
monter_fr,monter,fr,movement,HHP,0.557107067591982,0.6101358491621631,-0.053028781570181094,0.686914209190634
kommen_de,kommen,de,movement,HHP,0.7018059197849861,0.6988853266839226,0.0029205931010635178,0.802523525503736
reiten_de,reiten,de,movement,HHP,0.6872989271032288,0.6848166958793351,0.0024822312238936828,0.7836710825848175
blasen_de,blasen,de,air,HHP,0.715556893575229,0.6045428533433659,0.11101404023186312,0.65169733087155
