key,word,lang,domain,group,sim_sex,sim_neutral,hhp_index,sim_primary,dual_connectivity
come_en,come,en,movement,HHP,0.2897949892693853,0.41541945121214285,-0.12562446194275756,0.3716721678987025,0.6614671571680878
ride_en,ride,en,movement,HHP,0.29927916679761857,0.3811685930427846,-0.08188942624516604,0.4550588841240668,0.7543380509216854
hot_en,hot,en,temperature,HHP,0.4056543088923372,0.37587454522254254,0.02977976366979468,0.4473167681968789,0.852971077089216
wet_en,wet,en,moisture,HHP,0.408945087354511,0.35501989253123295,0.053925194823278066,0.5536501792640096,0.9625952666185207
blow_en,blow,en,air,HHP,0.3843792291449068,0.34186729458734244,0.04251193455756436,0.5744768295972591,0.958856058742166
eat_en,eat,en,food,HHP,0.3017772483538307,0.3859702622517115,-0.08419301389788081,0.5798293582446366,0.8816066065984672
mount_en,mount,en,movement,HHP,0.23839523737331508,0.34524585201565705,-0.10685061464234197,0.2709627915262932,0.5093580288996082
lay_en,lay,en,position,HHP,0.2542321356868005,0.34112271794069327,-0.08689058225389279,0.3137803652939398,0.5680125009807403
master_en,master,en,authority,HHP,0.2775475442990152,0.4438851125466788,-0.1663375682476636,0.5753139488676908,0.852861493166706
69_en,69,en,number,HHP,0.29066492217061446,0.3274795496925248,-0.03681462752191034,0.32580750718417784,0.6164724293547923
doggy_en,doggy,en,animal,HHP,0.34752824720237613,0.3398759323582301,0.007652314844146024,0.5529634239249313,0.9004916711273074
nuts_en,nuts,en,food,HHP,0.3041848344825873,0.3721838651618821,-0.0679990306792948,0.44114551190796136,0.7453303463905487
screw_en,screw,en,tool,HHP,0.31628543188914426,0.35888079245003013,-0.042595360560885864,0.4343213307838295,0.7506067626729738
collar_en,collar,en,animal,HHP,0.2975193210107572,0.3213199936707327,-0.02380067265997554,0.40053867037770896,0.6980579913884661
leash_en,leash,en,animal,HHP,0.3149493722797778,0.319002386908744,-0.004053014628966178,0.42935027776406154,0.7442996500438394
dominate_en,dominate,en,power,HHP,0.3059611597670374,0.2580258790525084,0.047935280714529016,0.40185414252733537,0.7078153022943727
submit_en,submit,en,power,HHP,0.30170912907207037,0.44082363343511277,-0.1391145043630424,0.29643216098977704,0.5981412900618475
swallow_en,swallow,en,food,HHP,0.36625680873489014,0.30973354010014775,0.056523268634742385,0.3730958796644118,0.739352688399302
iku_ja,イク,ja,movement,HHP,0.44584842243212675,0.40842798976686734,0.03742043266525941,0.4183058749687709,0.8641542974008977
taberu_ja,食べる,ja,food,HHP,0.3230953584968305,0.35847746961515436,-0.035382111118323845,0.6022206724344054,0.9253160309312358
noru_ja,乗る,ja,movement,HHP,0.2848602779800188,0.38885603912686595,-0.10399576114684717,0.4942748549245116,0.7791351329045304
kubiwa_ja,首輪,ja,animal,HHP,0.31596179418572395,0.33217174361186125,-0.016209949426137293,0.2736558881404129,0.5896176823261369
nureru_ja,濡れる,ja,moisture,HHP,0.3449792747287649,0.28824520174418794,0.056734072984576944,0.4987176042139701,0.843696878942735
semeru_ja,攻める,ja,power,HHP,0.29819740031894293,0.3254492685403183,-0.027251868221375375,0.35199836988859995,0.6501957702075429
shibaru_ja,縛る,ja,tool,HHP,0.2967684848778922,0.29299018646873665,0.003778298409155556,0.28352582823687933,0.5802943131147715
neru_ja,寝る,ja,sleep,HHP,0.2995909318151506,0.3343893439201941,-0.034798412105043475,0.6120677976887603,0.9116587295039109
venir_fr,venir,fr,movement,HHP,0.20337734589215462,0.2722439846957894,-0.0688666388036348,0.44585498620091224,0.6492323320930669
mourir_fr,mourir,fr,state,HHP,0.3401548969732466,0.32694983677248235,0.01320506020076423,0.4790488238223575,0.819203720795604
monter_fr,monter,fr,movement,HHP,0.29513001472182265,0.3648236340345027,-0.06969361931268003,0.4850781421568283,0.780208156878651
kommen_de,kommen,de,movement,HHP,0.3294532343246645,0.3570306618700906,-0.02757742754542608,0.43340976961158595,0.7628630039362505
reiten_de,reiten,de,movement,HHP,0.3688161704519651,0.34230424938301623,0.02651192106894884,0.582450779721968,0.951266950173933
blasen_de,blasen,de,air,HHP,0.40309493597363555,0.32296199197905934,0.08013294399457621,0.39904530897734236,0.8021402449509779
correrse_es,correrse,es,movement,HHP,0.48460733960824937,0.37313268465195404,0.11147465495629533,0.6084808188433064,1.0930881584515557
montar_es,montar,es,movement,HHP,0.34882165815070487,0.39626536884170727,-0.047443710691002394,0.5346769967728336,0.8834986549235385
gada_ko,가다,ko,movement,HHP,0.28504517101913396,0.3410315845774736,-0.055986413558339665,0.4489374097798517,0.7339825807989857
lai_zh,来,zh,movement,HHP,0.1624513013461374,0.16959205780493514,-0.007140756458797748,0.22323914500502573,0.3856904463511631
lick_en,lick,en,food,HHP,0.35907663894753966,0.3123746518943787,0.046701987053160976,0.3742134142922272,0.7332900532397668
tie_en,tie,en,tool,HHP,0.2583749696282034,0.3452607390042237,-0.08688576937602033,0.35902010489089836,0.6173950745191017
obey_en,obey,en,power,HHP,0.26915396766369737,0.3366915968145465,-0.06753762915084915,0.39702224132554287,0.6661762089892402
nameru_ja,舐める,ja,food,HHP,0.3611189733964262,0.2875259375993636,0.07359303579706256,0.3369856333669331,0.6981046067633593
